格调绮园 || 11.2平米 || 1830元/月
宏城御溪园 || 100平米 || 1500元/月
龙陵里 || 74.94平米 || 2400元/月
恩德西里 || 32.78平米 || 1800元/月
御河湾新苑 || 71.69平米 || 2500元/月
荣鑫园 || 75平米 || 2500元/月
诚基经贸中心 || 56.78平米 || 2000元/月
贻成豪庭 || 127平米 || 3500元/月
盛海公寓 || 54.5平米 || 2300元/月
太谷公寓 || 111.66平米 || 3600元/月
六纬路 || 38平米 || 2200元/月
春梅巷小区 || 94平米 || 1000元/月
华亭国际 || 114.24平米 || 3100元/月
四平西道 || 48平米 || 2200元/月
仁恒河滨花园 || 156平米 || 8800元/月
海逸长洲瀚景园 || 91.64平米 || 3800元/月
贻信园 || 98.75平米 || 2500元/月
崇安里 || 40平米 || 1400元/月
金冠里 || 80平米 || 2600元/月
静墅里 || 40平米 || 1700元/月
大通时尚花园 || 107平米 || 3500元/月
通达尚城 || 139平米 || 5500元/月
水岸江南天湾园 || 64平米 || 2600元/月
中山门东里 || 98平米 || 2600元/月
新福方里 || 104平米 || 4800元/月
晋宁北里 || 11.21平米 || 800元/月
福熙园 || 81.06平米 || 3300元/月
智慧山IT园智慧山 || 93平米 || 6000元/月
永基花园 || 143.74平米 || 6000元/月
海华里 || 45.94平米 || 2600元/月
园荫北里 || 61.79平米 || 1900元/月
时代奥城 || 122.74平米 || 7500元/月
景兴西里 || 25.01平米 || 1400元/月
宫前东园 || 71平米 || 2050元/月
解放南路 || 55.52平米 || 2700元/月
敬重里 || 51.11平米 || 2800元/月
晶采大厦 || 61.8平米 || 3400元/月
鑫泰家园 || 89.5平米 || 3200元/月
常州里 || 59.97平米 || 1500元/月
天琴里 || 40.2平米 || 1100元/月
阳安里 || 51.49平米 || 2000元/月
富力津门湖棕榈花园 || 210平米 || 10000元/月
河海花园 || 107平米 || 3300元/月
復康路十一號 || 161平米 || 7000元/月
台儿庄路 || 21平米 || 900元/月
第六田园优仕庭园 || 228平米 || 8000元/月
龙郡家园 || 95.82平米 || 3000元/月
惠阳里 || 74.17平米 || 2800元/月
红波里 || 39.45平米 || 1500元/月
融创融公馆 || 138平米 || 2800元/月
西园西里 || 26.97平米 || 1600元/月
华馨公寓 || 101.6平米 || 3500元/月
富力津门湖江湾广场 || 65平米 || 2900元/月
奥城公寓 || 62.93平米 || 3000元/月
福至里 || 57.67平米 || 2600元/月
红磡领世郡常春藤 || 149.7平米 || 3500元/月
第六田园优仕公寓 || 47.93平米 || 1500元/月
瑞地里 || 65.64平米 || 2500元/月
花莲里 || 20.42平米 || 1300元/月
滨海华贸中心 || 70平米 || 2300元/月
复康里 || 60平米 || 1800元/月
志成中里 || 61.01平米 || 1500元/月
原平里 || 39平米 || 1500元/月
滨河新苑 || 134平米 || 3500元/月
富力城天越园 || 136平米 || 6500元/月
河滨里 || 63平米 || 1800元/月
河华里 || 58平米 || 1800元/月
滨海浙商蓝庭国际 || 63.44平米 || 3000元/月
世富嘉园 || 179平米 || 5000元/月
奕聪花园 || 186平米 || 8500元/月
瑞江花园竹苑 || 134平米 || 4500元/月
万通华府三期 || 88.84平米 || 6500元/月
世富嘉园 || 178平米 || 5500元/月
博泰大厦 || 270平米 || 5000元/月
迎水西里 || 41平米 || 1700元/月
城市别墅 || 210平米 || 12000元/月
北洋新里 || 61平米 || 1600元/月
国耀上河城 || 100平米 || 1400元/月
世纪花园 || 149.43平米 || 6000元/月
保利大都会天汇雅苑 || 182.33平米 || 10000元/月
东英广场 || 155.5平米 || 5500元/月
祥和里 || 54.21平米 || 2300元/月
仁恒海河广场 || 108平米 || 8000元/月
海河大观 || 92.03平米 || 5200元/月
美韵家园 || 209平米 || 4500元/月
卫华里 || 322.85平米 || 26666元/月
福慧花园 || 153平米 || 4000元/月
宁福里 || 132平米 || 2200元/月
中环公寓 || 135平米 || 5000元/月
远洋五矿旷世新城 || 81.24平米 || 1200元/月
合众大厦 || 185.93平米 || 8000元/月
天津全运村 || 144平米 || 4800元/月
金融街融汇 || 90平米 || 2500元/月
城市之光别馆公寓 || 51平米 || 2300元/月
东莱里 || 50.46平米 || 2500元/月
凤园北里 || 31.6平米 || 1500元/月
贻锦台 || 99平米 || 3000元/月
柴楼竹园 || 113平米 || 2000元/月
世茂鲲玺园 || 135.79平米 || 2600元/月
久福园 || 308.59平米 || 10000元/月
诚基经贸中心 || 53.82平米 || 2200元/月
云广新里 || 44平米 || 1650元/月
喜年广场 || 39.13平米 || 2100元/月
环卫楼 || 40平米 || 1300元/月
景福里 || 63.36平米 || 3000元/月
和睦西里 || 42.66平米 || 1900元/月
富力津门湖景尚嘉郡 || 87.49平米 || 3500元/月
湯臣津湾一品 || 116平米 || 8500元/月
联发第五街 || 107平米 || 3900元/月
昌宁南里 || 28.24平米 || 1800元/月
卡梅尔天淳园 || 171.38平米 || 6000元/月
森淼公寓 || 203.59平米 || 9500元/月
假日风景花园 || 143平米 || 3900元/月
天众园 || 92.85平米 || 1800元/月
万科四季花城 || 90.41平米 || 2500元/月
昆宏里 || 80.13平米 || 3000元/月
源润大厦 || 55平米 || 1800元/月
香水园 || 91.73平米 || 3200元/月
苏州道 || 56.48平米 || 2500元/月
复地温莎堡红庭 || 365平米 || 10000元/月
津塘公寓 || 50.71平米 || 1900元/月
尊品庭苑 || 196平米 || 10000元/月
招商钻石山 || 66.68平米 || 5000元/月
新西楼 || 70平米 || 2400元/月
合众大厦 || 185.93平米 || 10000元/月
滨海智谛山 || 88.46平米 || 2300元/月
和睦西里 || 55.66平米 || 1300元/月
联盛大厦 || 62平米 || 1800元/月
调富里 || 156.5平米 || 3300元/月
瑞江花园梅苑 || 163.43平米 || 5500元/月
松鹤园 || 130平米 || 1800元/月
远洋里 || 62平米 || 1600元/月
怡宁公寓 || 216平米 || 5800元/月
佳缘公寓 || 111平米 || 4500元/月
观园公寓 || 42.59平米 || 2600元/月
海逸长洲瀚景园 || 340平米 || 20000元/月
龙都花园 || 50.1平米 || 3000元/月
华荫东里 || 44平米 || 2100元/月
东康家园 || 45.11平米 || 1700元/月
盈润园 || 118平米 || 3600元/月
翠郁里 || 121平米 || 3500元/月
龙海公寓 || 48.16平米 || 2000元/月
三潭东里 || 30平米 || 2000元/月
首创城 || 112.72平米 || 2600元/月
积善里 || 75平米 || 2500元/月
友爱南里 || 57平米 || 1500元/月
三潭东里 || 60平米 || 3000元/月
贻锦台 || 95平米 || 2500元/月
天华里 || 76.67平米 || 3000元/月
川北里 || 73.94平米 || 2700元/月
佳园南里 || 58.55平米 || 1800元/月
澳光大厦 || 147平米 || 6000元/月
气象西里 || 14平米 || 2500元/月
秀丽园 || 107.89平米 || 2300元/月
奥城公寓 || 29平米 || 2200元/月
万科金域蓝湾 || 100.29平米 || 4000元/月
佳怡公寓 || 69.03平米 || 3500元/月
川东里 || 68平米 || 2400元/月
明筑轩 || 134平米 || 6800元/月
美丽心殿 || 124平米 || 3800元/月
金茂广场 || 61.3平米 || 2700元/月
十二经路13 || 56平米 || 2700元/月
唐山里 || 38平米 || 1300元/月
云山里 || 33平米 || 1100元/月
爱国北里 || 52.5平米 || 2200元/月
滨慧花园 || 113平米 || 1200元/月
恒大山水城 || 165平米 || 2100元/月
东舍宅 || 24.06平米 || 1600元/月
邮电公寓 || 67平米 || 3100元/月
菁华津城 || 106.5平米 || 1600元/月
天达里 || 119平米 || 3700元/月
中海城市广场 || 200平米 || 17000元/月
金山里 || 18.17平米 || 1600元/月
科艺里 || 40.35平米 || 1800元/月
融创融公馆 || 201.37平米 || 5500元/月
金典花园 || 170平米 || 5000元/月
瑞兴里 || 40平米 || 1500元/月
海逸长洲恋海园 || 366.03平米 || 13000元/月
弘景苑 || 108平米 || 3200元/月
保山南里 || 17.26平米 || 800元/月
泰达国际公寓 || 205平米 || 14000元/月
东方名居 || 185.26平米 || 5000元/月
芥园北里 || 39.65平米 || 1500元/月
晨光楼 || 43平米 || 1500元/月
李七庄北里 || 70平米 || 2000元/月
松风东里 || 36平米 || 1400元/月
林古里 || 25平米 || 1700元/月
国风星苑 || 57.66平米 || 2100元/月
凌奥盛世公寓 || 87.17平米 || 2500元/月
滨悦花园 || 85平米 || 2100元/月
万科水晶城维漫园 || 104平米 || 4000元/月
风荷园 || 104.63平米 || 13000元/月
景兴里 || 43平米 || 1600元/月
华育里 || 35平米 || 1800元/月
凌奥盛世公寓 || 66平米 || 2200元/月
诚基经贸中心 || 49.97平米 || 2300元/月
保利罗兰公馆 || 132.06平米 || 3000元/月
超英家园 || 109.54平米 || 4000元/月
贵州路 || 31.26平米 || 2300元/月
御景园邸三元阁 || 170平米 || 5500元/月
富力津门湖观鹭花园 || 136平米 || 5000元/月
尚都家园 || 221.52平米 || 8500元/月
江川北里 || 86.94平米 || 3000元/月
滨慧花园 || 97.52平米 || 2000元/月
济津楼 || 30平米 || 1400元/月
和泓四季恋城 || 68平米 || 2000元/月
太阳城蓝山园 || 70平米 || 2300元/月
中央公馆 || 67平米 || 3100元/月
陶然庭苑 || 101.5平米 || 3000元/月
金堂南里 || 68平米 || 1700元/月
临江里 || 54平米 || 3000元/月
万通华府B区 || 170平米 || 10000元/月
滨河新苑 || 82.9平米 || 2500元/月
京达明居 || 77平米 || 2000元/月
景兴里 || 39.6平米 || 2400元/月
凤园南里 || 21.14平米 || 1600元/月
社会山花园一区 || 223.08平米 || 7800元/月
秋瑞家园 || 97.53平米 || 2400元/月
海翔公寓 || 68.42平米 || 2000元/月
中海城市广场 || 315平米 || 25000元/月
富豪新开门 || 108平米 || 4000元/月
诚基经贸中心 || 66.95平米 || 3800元/月
金融街融御-融景名邸 || 172.29平米 || 22000元/月
天津全运村 || 143.65平米 || 5000元/月
时光墅 || 222.18平米 || 9500元/月
临营西里 || 38平米 || 1400元/月
裕阳大厦 || 118.9平米 || 4200元/月
合景御华园 || 220平米 || 7000元/月
静安里(河西区) || 65.16平米 || 2600元/月
昱发园 || 98.94平米 || 2000元/月
义兴里 || 42.23平米 || 1800元/月
万隆桃香园 || 112.58平米 || 1600元/月
马场道 || 35.34平米 || 1600元/月
阳光新干线 || 230平米 || 13000元/月
万顺温泉公寓 || 187.17平米 || 8000元/月
凯立花园 || 91.27平米 || 3800元/月
松江东湖小镇 || 132平米 || 1800元/月
中海御湖翰苑 || 48.07平米 || 2500元/月
联东U谷总部大观青年公社 || 538平米 || 5000元/月
天津雅颂居 || 132平米 || 9000元/月
天津全运村 || 144平米 || 4700元/月
天津全运村 || 144平米 || 5000元/月
谊景村 || 42.62平米 || 1500元/月
晨星园 || 110平米 || 3300元/月
森淼公寓 || 482.18平米 || 17000元/月
大地十二城翠杉园 || 99.09平米 || 1700元/月
中环公寓 || 103.07平米 || 4200元/月
崇安里 || 38.9平米 || 1400元/月
白楼名邸 || 183.65平米 || 20000元/月
城市别墅 || 350平米 || 42000元/月
爱丽家园西区 || 171.71平米 || 7800元/月
科园公寓 || 90.88平米 || 2500元/月
中宇里 || 79.38平米 || 2700元/月
俊城浅水湾 || 95.62平米 || 3200元/月
融汇北苑 || 78.23平米 || 5200元/月
近园里 || 58平米 || 2200元/月
水畔花园 || 66.53平米 || 2700元/月
富力津门湖江湾广场 || 65.17平米 || 3000元/月
万科民和巷 || 92平米 || 2700元/月
锦江里 || 75.71平米 || 2000元/月
康桥里 || 44.01平米 || 1400元/月
瑞丽园 || 94平米 || 3000元/月
万通新城国际 || 118平米 || 3400元/月
宇萃里 || 41.79平米 || 1600元/月
景福里 || 28.04平米 || 1700元/月
美坪园 || 99.77平米 || 4200元/月
旭辉澜郡 || 90平米 || 1500元/月
富力桃园天富园 || 89平米 || 2000元/月
龙亭家园 || 164.56平米 || 7500元/月
新汇华庭 || 90平米 || 5500元/月
沁园 || 122平米 || 3600元/月
北宁湾-致远家园 || 88.4平米 || 3200元/月
利民道 || 37.74平米 || 1300元/月
南通里 || 56.77平米 || 2900元/月
天津大都会SMART || 53.2平米 || 3700元/月
碧水里 || 80平米 || 2700元/月
花园伍座轩 || 145平米 || 7500元/月
府上和平 || 86.32平米 || 6500元/月
和平时光 || 46.06平米 || 3600元/月
彩丽园 || 89平米 || 2500元/月
玉泉里 || 73平米 || 2850元/月
正荣润璟湾 || 82平米 || 1300元/月
太阳城橙翠园 || 113平米 || 3400元/月
靖江东里 || 60平米 || 1500元/月
敦煌楼 || 32.25平米 || 1300元/月
苏州道 || 61.11平米 || 2700元/月
金地格林世界橡树苑A区 || 100平米 || 2200元/月
天津雅颂居 || 187平米 || 16000元/月
平安大厦 || 354.43平米 || 37215元/月
守善里 || 25.58平米 || 2000元/月
雅安西里 || 22.41平米 || 1180元/月
爱丽家园东区 || 158平米 || 6500元/月
首创珐瑯墅昆芳苑 || 91.58平米 || 3000元/月
甘肃路(和平区) || 24.15平米 || 1000元/月
凤麟公寓 || 82.45平米 || 2400元/月
环球金融中心津塔公寓 || 126.53平米 || 8500元/月
综合楼 || 33.28平米 || 1900元/月
照耀里 || 39平米 || 1800元/月
服务楼 || 34.9平米 || 2000元/月
河北路(和平区) || 37.44平米 || 2100元/月
翔鹤园 || 128平米 || 2800元/月
晓星园 || 109平米 || 4300元/月
苏州道 || 43.6平米 || 3000元/月
第六大道大洋嘉园 || 60.8平米 || 2500元/月
景兴西里 || 54平米 || 2500元/月
景福里 || 75平米 || 2800元/月
凯德国贸 || 108.82平米 || 7500元/月
芳水园 || 112.32平米 || 4500元/月
万科水晶城聆梦园 || 59.86平米 || 2800元/月
湯臣津湾一品 || 158.04平米 || 15000元/月
勤俭道 || 57.37平米 || 1100元/月
照耀里 || 32.59平米 || 1600元/月
照耀里 || 38.65平米 || 1800元/月
三元公寓 || 72.61平米 || 2700元/月
天津雅颂居 || 144平米 || 10000元/月
世纪梧桐公寓 || 112.66平米 || 4300元/月
金隅悦城 || 94.15平米 || 2500元/月
城市之光别馆公寓 || 53.66平米 || 2000元/月
复康里 || 36平米 || 2100元/月
奥城公寓 || 49平米 || 2600元/月
保利金融街诺丁山 || 81平米 || 950元/月
天房美棠 || 97平米 || 4000元/月
爱国里 || 41平米 || 2000元/月
滨河家园 || 146平米 || 4700元/月
芥园里 || 30.85平米 || 1500元/月
纪发公寓 || 116.32平米 || 3800元/月
海泰国际公寓 || 121.51平米 || 5500元/月
连荣里 || 51.73平米 || 2600元/月
金泉里 || 79平米 || 3000元/月
金云里 || 96.69平米 || 3500元/月
乐达里 || 92平米 || 2000元/月
安居原尚园 || 91.48平米 || 800元/月
林苑北里 || 57.84平米 || 2300元/月
红磡领世郡常春藤 || 125平米 || 3000元/月
天房天拖 || 102平米 || 3300元/月
忠信里 || 50平米 || 2800元/月
江门里 || 79.52平米 || 3200元/月
来安里 || 53平米 || 1700元/月
万丽国际公寓 || 66.39平米 || 3500元/月
军星名苑 || 94.77平米 || 3500元/月
春华里 || 40平米 || 2500元/月
金融街融御-融景名邸 || 239.95平米 || 18000元/月
元兴新里 || 55平米 || 2000元/月
靖江西里 || 39.34平米 || 2000元/月
福东北里 || 78.48平米 || 1900元/月
车站北路348 || 67.3平米 || 1500元/月
天津雅颂居 || 187平米 || 16000元/月
泰和城 || 90.82平米 || 2200元/月
第六大道陆典庭园 || 58.37平米 || 2400元/月
碧溪苑 || 194平米 || 3000元/月
唐口新村六段 || 48.39平米 || 1800元/月
奥城公寓 || 109平米 || 8500元/月
富力津门湖景尚嘉郡 || 89平米 || 3600元/月
融科瀚棠 || 90平米 || 4500元/月
华云园 || 155平米 || 4000元/月
揽湖苑 || 246.9平米 || 3000元/月
阳光壹佰西园 || 118.74平米 || 4500元/月
景兴西里 || 39.56平米 || 1600元/月
盈江里 || 50.12平米 || 2000元/月
城市之光别馆公寓 || 55平米 || 2400元/月
仁恒滨河湾 || 85平米 || 2500元/月
滨海智谛山 || 76.24平米 || 2300元/月
阅湖苑 || 90.55平米 || 1700元/月
康馨里 || 87平米 || 3200元/月
万科双子座 || 105平米 || 5000元/月
日照里 || 31平米 || 2000元/月
桃花园南里 || 18.5平米 || 900元/月
枫景园 || 144平米 || 4000元/月
君利花园 || 94.8平米 || 1300元/月
尚都家园 || 87.35平米 || 3200元/月
大成中环城 || 82.96平米 || 3000元/月
万科新城紫荆苑 || 91.61平米 || 2600元/月
伴景湾家园 || 227平米 || 8500元/月
博兰苑 || 87.1平米 || 3500元/月
滨悦花园 || 89平米 || 1800元/月
仁爱花园 || 45平米 || 1800元/月
聚龙园 || 60.39平米 || 1500元/月
津尚花园 || 91平米 || 2600元/月
福至里 || 42平米 || 1400元/月
金旺佳园 || 97平米 || 2000元/月
瑞海大厦 || 37.94平米 || 2000元/月
正荣润璟湾 || 197.83平米 || 6500元/月
先进里 || 52平米 || 1800元/月
环湖西里 || 52平米 || 2400元/月
山海天家园 || 193平米 || 10000元/月
晶采大厦 || 91.51平米 || 1500元/月
山海天家园 || 200.44平米 || 8200元/月
湛江路 || 58.57平米 || 1800元/月
天房美棠 || 97平米 || 3500元/月
云台花园 || 180平米 || 50000元/月
诚基经贸中心 || 148平米 || 5000元/月
万科水晶城揽星园 || 186.98平米 || 6000元/月
水木天成闻涛园 || 40平米 || 1050元/月
诚基经贸中心 || 66.95平米 || 4000元/月
诚基经贸中心 || 60.97平米 || 2250元/月
青林大厦 || 64平米 || 3600元/月
长征楼(河东区) || 77.74平米 || 2000元/月
幸福里(红桥区) || 72.5平米 || 2000元/月
尚北园 || 90平米 || 2400元/月
长江里 || 54平米 || 2200元/月
高风里 || 60平米 || 2600元/月
气象里 || 37平米 || 1900元/月
宜兰里 || 59.13平米 || 2200元/月
金平东里 || 44.49平米 || 2200元/月
水乡花园 || 74.2平米 || 3300元/月
蓝庭国际 || 52平米 || 2800元/月
富力津门湖江湾广场 || 43平米 || 2500元/月
居祥里 || 58.17平米 || 2400元/月
文静里 || 47.82平米 || 2100元/月
社会山Bigparty || 99平米 || 2300元/月
奥林匹克花园玉兰苑 || 140.98平米 || 4500元/月
通达尚城 || 44.34平米 || 1900元/月
首创珐瑯墅昆芳苑 || 211.09平米 || 5000元/月
包头道 || 57.83平米 || 2600元/月
星澜园 || 115平米 || 4200元/月
金领国际 || 54.42平米 || 2500元/月
远洋城 || 78平米 || 2000元/月
星河荣御 || 134平米 || 3000元/月
怀庆里 || 32.8平米 || 1900元/月
翰园东里 || 26平米 || 1350元/月
日盈里 || 49.91平米 || 1500元/月
富力津门湖江湾广场 || 40.81平米 || 2200元/月
南岸家园 || 47.48平米 || 1050元/月
博兰苑 || 86.45平米 || 3500元/月
佳园东里 || 42平米 || 1600元/月
远洋心里 || 90平米 || 2500元/月
松江置嘉公寓 || 40.99平米 || 3100元/月
奥城公寓 || 39.56平米 || 3500元/月
双山里 || 26.16平米 || 1000元/月
天欣颐园 || 199.63平米 || 3500元/月
天津湾海景文苑 || 115平米 || 3300元/月
中海金湖湾 || 109.19平米 || 2300元/月
保利大都会天汇尚苑 || 134平米 || 6300元/月
西园西里 || 40平米 || 1700元/月
汇英里 || 96.39平米 || 3000元/月
贻正嘉合 || 135.69平米 || 3400元/月
集园里 || 22平米 || 1300元/月
生昌里 || 60.36平米 || 2000元/月
冠云东里 || 59平米 || 950元/月
烛光里 || 52平米 || 1600元/月
富力津门湖鸣泉花园 || 137.37平米 || 5000元/月
昌海公寓 || 89.36平米 || 3300元/月
第六大道道俊华园 || 75.84平米 || 2400元/月
风致里 || 54.41平米 || 1700元/月
兴华公寓 || 75.17平米 || 3400元/月
东润名邸 || 114平米 || 3800元/月
福林里 || 52.16平米 || 2800元/月
城市名居 || 61.05平米 || 1750元/月
大地十二城枫桥园 || 83.6平米 || 2100元/月
怡康家园 || 106平米 || 2600元/月
卫华里 || 52.93平米 || 2600元/月
广田里 || 54平米 || 2400元/月
宏城御溪园 || 110平米 || 5000元/月
金海岸公寓 || 101平米 || 3600元/月
海河大观 || 57.7平米 || 2700元/月
凤园北里 || 55平米 || 2100元/月
大成中环城 || 88平米 || 2500元/月
碧春园 || 60平米 || 2300元/月
日月家园 || 82.92平米 || 2600元/月
中海御湖翰苑 || 47.79平米 || 2900元/月
富力津门湖景尚嘉郡 || 88.6平米 || 3800元/月
广东山庄路 || 35平米 || 1200元/月
科馨别墅 || 420平米 || 35000元/月
大地十二城枫桦园 || 87.68平米 || 2500元/月
美荷苑 || 125.82平米 || 4000元/月
景兴西里 || 24平米 || 1600元/月
福东北里 || 53.18平米 || 1600元/月
仁恒海河广场 || 90平米 || 6500元/月
金侨宸公馆 || 105平米 || 1000元/月
恒华公寓 || 122.26平米 || 4600元/月
庆有西里 || 41平米 || 2500元/月
湯臣津湾一品 || 174平米 || 9000元/月
义兴南里 || 42平米 || 1900元/月
眺园里 || 34.5平米 || 1700元/月
延生里 || 39.85平米 || 2100元/月
万科水晶城静湾园 || 113.93平米 || 7300元/月
宾水东里 || 60平米 || 2700元/月
丁字沽八段 || 40平米 || 1500元/月
工业大学家属院 || 100平米 || 3500元/月
华亭国际 || 56平米 || 2400元/月
景兴西里 || 25.01平米 || 1400元/月
宫前东园 || 71平米 || 2050元/月
福熙园 || 81.06平米 || 3300元/月
智慧山IT园智慧山 || 93平米 || 6000元/月
永基花园 || 143.74平米 || 6000元/月
大生里 || 33平米 || 1700元/月
罗江西里 || 31平米 || 1500元/月
来福北里 || 45平米 || 2200元/月
博朗园 || 59.08平米 || 3500元/月
园荫北里 || 61.79平米 || 1900元/月
时代奥城 || 122.74平米 || 7500元/月
来福里 || 60平米 || 2800元/月
华宁南里 || 28.61平米 || 2000元/月
涪江北里 || 30.26平米 || 1400元/月
翠水园 || 118.85平米 || 3600元/月
风貌里小区 || 72.15平米 || 2600元/月
林苑西里 || 58平米 || 1000元/月
宸欣家园 || 94.61平米 || 2300元/月
光明里 || 34.91平米 || 1800元/月
天鹅湖天湖园 || 330平米 || 19800元/月
金茂广场 || 61.28平米 || 2700元/月
丹凤里 || 42平米 || 1350元/月
东瑞家园 || 72.92平米 || 1800元/月
东尚名居 || 89.52平米 || 3200元/月
义江里 || 61平米 || 2200元/月
碧轩园 || 99平米 || 3000元/月
春艳里 || 58平米 || 1750元/月
富力湾天阔园 || 89.66平米 || 2600元/月
华润橡树湾 || 53.81平米 || 1600元/月
富力城天越园 || 106.37平米 || 5000元/月
中央公馆 || 51.47平米 || 2700元/月
谊景村 || 42平米 || 1800元/月
华章里 || 102.82平米 || 3500元/月
水木天成逸树园 || 110平米 || 3200元/月
瑞江花园梅苑 || 94平米 || 3200元/月
堤东里 || 55.49平米 || 2800元/月
福东北里 || 41.96平米 || 1300元/月
金研里 || 47.14平米 || 1600元/月
兴泰西里 || 65平米 || 2600元/月
新湾花园北园 || 66.21平米 || 1200元/月
凯德国贸 || 90平米 || 13000元/月
风采里 || 62.81平米 || 1800元/月
尚东雅园 || 121平米 || 3800元/月
第六田园优仕庭园 || 124.35平米 || 4300元/月
首玺 || 88.66平米 || 2600元/月
假日风景花园 || 95平米 || 2680元/月
富山花园 || 130平米 || 5000元/月
万科民和巷 || 92平米 || 2800元/月
时代奥城 || 110平米 || 6000元/月
昆仑中心 || 55平米 || 3500元/月
华育里 || 58平米 || 2600元/月
阳光壹佰北园 || 46平米 || 2500元/月
春风里(塘沽区) || 90平米 || 2300元/月
珠江里(河西区) || 55.38平米 || 2000元/月
景明花园 || 131平米 || 2000元/月
咸阳北里 || 40平米 || 1500元/月
艳益家园 || 97平米 || 2600元/月
盛海公寓 || 86.7平米 || 3300元/月
汇贤里 || 60平米 || 2000元/月
居华里 || 70.57平米 || 2700元/月
韶山道 || 53平米 || 1600元/月
天意里 || 52.63平米 || 2500元/月
瑞海大厦 || 33.9平米 || 1900元/月
华夏津典畅水园 || 95.88平米 || 3700元/月
临营西里 || 39平米 || 1500元/月
奥城公寓 || 34.01平米 || 2000元/月
东尚名居 || 96平米 || 3600元/月
东瑞家园 || 48平米 || 1500元/月
水岸江南天湾园 || 88平米 || 3300元/月
仁恒河滨花园 || 105.48平米 || 7000元/月
福方里 || 39.15平米 || 2400元/月
太阳城橙翠园 || 89平米 || 6500元/月
孚德里 || 31.4平米 || 1700元/月
云居里 || 73.2平米 || 2600元/月
滨悦花园 || 130平米 || 2500元/月
中海御湖翰苑 || 43平米 || 2300元/月
万春美钻时代 || 76.24平米 || 2800元/月
万科民和巷 || 77平米 || 2300元/月
富力湾天阔园 || 90平米 || 2800元/月
美林园 || 130平米 || 3000元/月
雅境新枫尚 || 61平米 || 2500元/月
万科新里程花园 || 86平米 || 2500元/月
临营东里 || 43平米 || 1300元/月
靖江南里 || 96.92平米 || 3500元/月
津门里 || 41.26平米 || 1700元/月
东升里 || 41平米 || 1100元/月
香榭里 || 41.61平米 || 2500元/月
胜利公寓 || 113.53平米 || 2500元/月
丹江里 || 59.45平米 || 1300元/月
泰山里 || 54平米 || 1700元/月
裕德里 || 25.41平米 || 2100元/月
富力津门湖景尚嘉郡 || 87.21平米 || 3400元/月
金凤里 || 98平米 || 2000元/月
服务楼 || 18.11平米 || 500元/月
奥城公寓 || 34.01平米 || 2100元/月
昌源公寓 || 46.29平米 || 1600元/月
蓬莱新里 || 60平米 || 2100元/月
尚东雅园 || 106.9平米 || 4000元/月
万科城邻水苑 || 81平米 || 2000元/月
紫罗园 || 130平米 || 2400元/月
阳光壹佰北园 || 45平米 || 2000元/月
真理园 || 91.19平米 || 2300元/月
悦海园 || 92平米 || 2700元/月
程林东里 || 61.2平米 || 1800元/月
银都大厦 || 473平米 || 17500元/月
尚佳新苑公寓 || 55.39平米 || 3600元/月
湯臣津湾一品 || 116.18平米 || 7200元/月
昆裕里 || 38.53平米 || 2100元/月
凤麟里 || 53平米 || 1600元/月
吉利花园 || 118平米 || 8333元/月
奥林匹克花园橄榄苑 || 49.75平米 || 2000元/月
